"TEAM"	"POS.RANK"	"PLAYER"	"AGE"	"GP"	"W"	"L"	"MIN"	"PTS"	"FGM"	"FGA"	"FG_PCT"	"2PA"	"2PM"	"FG2_PCT"	"3PA"	"3PM"	"FG3_PCT"	"2PT_ATT_PER"	"3PT_ATT_PER"	"FTM"	"FTA"	"FT_PCT"	"PER_PTS_FT"	"PER_PTS_2P"	"PER_PTS_3P"	"OREB"	"DREB"	"REB"	"AST"	"TOV"	"STL"	"BLK"	"PF"	"FP"	"DD2"	"TD3"	"X..."	"POSITION"	"PLAYER_ID"	"RANK"	"color"	"team_color"
"17"	"ATL"	174	"Vince Carter"	43	60	19	41	14.6	5	1.8	5.1	35.2	1.7	0.8	47.06	3.4	1	30.2	33.33	66.67	0.4	0.5	79.3	8	32	60	0.3	1.8	2.1	0.8	0.6	0.4	0.4	1.5	10.5	0	0	-2.1	"Guard"	1713	239	"#7570B3"	"#e13a3e"
"18"	"ATL"	67	"De'Andre Hunter"	22	63	19	44	32	12.3	4.4	10.8	41	6	2.7	45	4.8	1.7	35.5	55.56	44.44	1.7	2.3	76.4	13.82	43.9	41.46	0.7	3.8	4.5	1.8	1.6	0.7	0.3	2.9	21.8	3	0	-4.1	"Guard"	1629631	99	"#7570B3"	"#e13a3e"
"19"	"ATL"	202	"Bruno Fernando"	21	56	18	38	12.7	4.3	1.8	3.6	51.8	2.9	1.7	58.62	0.7	0.1	13.5	80.56	19.44	0.5	0.9	56.9	11.63	79.07	6.98	1.2	2.3	3.5	0.9	0.8	0.3	0.3	1.9	11	1	0	-1.7	"Forward"	1628981	253	"#D95F02"	"#e13a3e"
"20"	"ATL"	69	"Kevin Huerter"	21	56	19	37	31.4	12.2	4.5	10.9	41.3	4.9	2.2	44.9	6	2.3	38	44.95	55.05	0.9	1.1	82.8	7.38	36.07	56.56	0.6	3.4	4.1	3.8	1.6	0.9	0.5	2.5	25.4	2	0	-4.3	"Guard"	1628989	102	"#7570B3"	"#e13a3e"
"21"	"ATL"	65	"Skal Labissiere"	24	33	14	19	17.2	5.8	2.5	4.5	55.1	4.1	2.4	58.54	0.4	0.1	23.1	91.11	8.89	0.8	1	75.8	13.79	82.76	5.17	2	3.2	5.1	1.3	0.9	0.2	0.9	2.7	16.4	1	0	0.4	"Center"	NA	NA	"#1B9E77"	"#e13a3e"
"22"	"ATL"	64	"Dewayne Dedmon"	30	44	17	27	17.6	5.8	2.3	5.8	40	3.4	1.8	52.94	2.4	0.5	20.6	58.62	41.38	0.7	0.8	83.3	12.07	62.07	25.86	1.4	4.3	5.7	0.5	1.3	0.6	0.9	3	16.6	3	0	-0.6	"Center"	NA	NA	"#1B9E77"	"#e13a3e"
"23"	"ATL"	80	"Bruno Fernando"	21	56	18	38	12.7	4.3	1.8	3.6	51.8	2.9	1.7	58.62	0.7	0.1	13.5	80.56	19.44	0.5	0.9	56.9	11.63	79.07	6.98	1.2	2.3	3.5	0.9	0.8	0.3	0.3	1.9	11	1	0	-1.7	"Center"	1628981	253	"#1B9E77"	"#e13a3e"
"24"	"ATL"	80	"Jeff Teague"	31	59	22	37	24.8	10.9	3.6	8.3	43.6	6.3	2.9	46.03	2	0.7	36.8	75.9	24.1	2.9	3.3	87.3	26.61	53.21	19.27	0.5	1.9	2.4	5.2	2	0.7	0.3	1.8	22.8	3	0	-2.9	"Guard"	201952	119	"#7570B3"	"#e13a3e"
"25"	"ATL"	82	"Cam Reddish"	20	58	17	41	26.7	10.5	3.7	9.6	38.4	5.3	2.3	43.4	4.3	1.4	33.2	55.21	44.79	1.7	2.2	80.2	16.19	43.81	40	0.6	3.1	3.7	1.5	1.7	1.1	0.5	2.3	20.2	0	0	-4.2	"Guard"	1629629	123	"#7570B3"	"#e13a3e"
"26"	"ATL"	181	"Vince Carter"	43	60	19	41	14.6	5	1.8	5.1	35.2	1.7	0.8	47.06	3.4	1	30.2	33.33	66.67	0.4	0.5	79.3	8	32	60	0.3	1.8	2.1	0.8	0.6	0.4	0.4	1.5	10.5	0	0	-2.1	"Forward"	1713	239	"#D95F02"	"#e13a3e"
"27"	"BKN"	205	"Chris Chiozza"	24	21	9	12	11.8	4	1.5	3.8	40.5	1.8	0.6	33.33	2	0.9	43.9	47.37	52.63	0.1	0.1	100	2.5	30	67.5	0.3	1.4	1.7	2.3	0.8	0.7	0.1	1.1	11	0	0	3	"Guard"	NA	NA	"#7570B3"	"#061922"
"28"	"BKN"	264	"Jeremiah Martin"	23	3	3	0	5.3	0.7	0.3	1.7	20	1.4	0.3	21.43	0.3	0	0	82.35	17.65	0	0	0	0	85.71	0	0	0.7	0.7	0.7	0	0.3	0.3	0	4.5	0	0	0.7	"Guard"	NA	NA	"#7570B3"	"#061922"
