"Player"	"TEAM"	"AGE"	"FGM"	"FGA"	"FG."	"FGM.1"	"FGA.1"	"FG..1"	"FGM.2"	"FGA.2"	"FG..2"	"FGM.3"	"FGA.3"	"FG..3"	"FGM.4"	"FGA.4"	"FG..4"	"FGM.5"	"FGA.5"	"FG..5"	"YEAR"
"437"	"Shamorie Ponds"	"TOR"	21	0.5	0.8	66.7	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	50	"2019-20"
"438"	"Shaquille Harrison"	"CHI"	26	1.2	2.3	51.5	0.2	0.4	43.8	0.1	0.2	57.1	0	0.1	0	0.3	0.7	44.4	0.1	0.3	30.8	"2019-20"
"439"	"Skal Labissiere"	"ATL"	24	1.3	2	62.7	0.4	0.9	48.3	0.4	0.6	65	0.3	0.5	50	0	0.1	0	0.1	0.3	30	"2019-20"
"440"	"Solomon Hill"	"MIA"	29	0.5	1	46.2	0.1	0.3	35.3	0.1	0.2	37.5	0.1	0.2	40	0.6	1.3	47.8	0.5	1.7	31.9	"2019-20"
"441"	"Spencer Dinwiddie"	"BKN"	26	3.6	6.4	56.6	0.6	1.6	39.2	0.2	1	20.9	0.2	0.5	38.7	0.6	2.2	28.6	1.3	4	32.4	"2019-20"
"442"	"Stanley Johnson"	"TOR"	23	0.3	0.6	45.5	0	0.1	0	0	0.1	0	0	0.1	0	0.1	0.4	12.5	0.1	0.4	28.6	"2019-20"
"443"	"Stanton Kidd"	"UTA"	28	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0.5	0	0	0	0	"2019-20"
"444"	"Stephen Curry"	"GSW"	32	2.4	3.8	63.2	0.4	0.6	66.7	0.2	0.2	100	0.4	0.8	50	1.2	3.2	37.5	1.4	6	23.3	"2019-20"
"445"	"Sterling Brown"	"MIL"	25	0.7	1.5	49.3	0.1	0.3	36.4	0.1	0.2	50	0	0.3	15.4	0.4	1.3	33.3	0.4	1.4	29.5	"2019-20"
"446"	"Steven Adams"	"OKC"	26	3.4	5.1	66.6	0.8	2	41.2	0.3	0.5	58.1	0	0	50	0	0	0	0	0	0	"2019-20"
"447"	"Svi Mykhailiuk"	"DET"	22	0.8	1.6	49.5	0	0.3	11.8	0	0.1	33.3	0	0.1	0	0.7	1.8	40	1.4	3.2	42.7	"2019-20"
"448"	"T.J. McConnell"	"IND"	27	1.4	2.3	62.7	0.5	1	52.5	0.7	1.4	45.6	0.3	0.8	36	0.1	0.2	36.4	0	0.1	50	"2019-20"
"449"	"T.J. Warren"	"IND"	26	3.3	4.6	71.2	0.8	1.8	44.6	1.3	2.7	49.7	0.9	1.9	47.4	0.8	1.8	41.8	0.4	1.4	31.8	"2019-20"
"450"	"TJ Leaf"	"IND"	22	0.8	1.5	55.3	0.1	0.4	27.3	0	0.2	25	0	0.1	0	0.1	0.3	33.3	0.1	0.3	37.5	"2019-20"
"451"	"Tacko Fall"	"BOS"	24	1.4	1.8	77.8	0.4	0.6	66.7	0	0	0	0	0	0	0	0	0	0	0	0	"2019-20"
"452"	"Taj Gibson"	"NYK"	34	2	2.9	67.6	0.2	0.4	45.5	0.1	0.3	47.1	0.3	0.7	40.5	0.1	0.3	38.1	0	0	50	"2019-20"
"453"	"Talen Horton-Tucker"	"LAL"	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	"2019-20"
"454"	"Tariq Owens"	"PHX"	24	0.3	0.7	50	0	0	0	0	0	0	0	0.3	0	0	0.3	0	0	0.3	0	"2019-20"
"455"	"Taurean Prince"	"BKN"	25	1.3	2.7	49.7	0.3	0.8	31.4	0.2	0.7	33.3	0.2	0.5	40	1.1	3.2	34.3	1.2	3.5	34.1	"2019-20"
"456"	"Terance Mann"	"LAC"	23	0.5	0.9	60	0.1	0.3	33.3	0.1	0.3	22.2	0	0.1	0	0.1	0.4	20	0	0.1	50	"2019-20"
"457"	"Terence Davis"	"TOR"	22	1.4	2.2	63.8	0	0.2	23.1	0	0.2	20	0	0.1	0	0.6	1.4	44	0.8	2.1	36.5	"2019-20"
"458"	"Terrance Ferguson"	"OKC"	21	0.4	0.6	64.5	0	0	0	0	0	100	0.1	0.2	62.5	0.6	1.7	33.3	0.4	1.5	27.4	"2019-20"
"459"	"Terrence Ross"	"ORL"	29	0.9	1.4	63.7	0.2	0.5	43.8	0.4	0.9	42.4	0.7	1.7	40.4	0.9	2.4	38	1.9	5.3	35.5	"2019-20"
"460"	"Terry Rozier"	"CHA"	26	2.1	4.1	50.6	0.5	1.4	34.9	0.5	1.4	39.5	0.3	0.9	37	1.2	2.8	43.4	1.7	4.3	38.7	"2019-20"
"461"	"Thabo Sefolosha"	"HOU"	35	0.5	0.6	80	0	0.1	0	0	0.1	33.3	0	0.1	20	0.3	0.7	39.3	0.1	0.6	15.4	"2019-20"
"462"	"Thaddeus Young"	"CHI"	31	2.2	4	55.6	0.6	1.4	41.1	0.1	0.2	30.8	0.1	0.2	40	0.7	1.9	37.1	0.5	1.6	33	"2019-20"
"463"	"Thanasis Antetokounmpo"	"MIL"	27	1.1	1.6	65.4	0	0.1	0	0.1	0.1	100	0	0	0	0	0.3	0	0	0.1	0	"2019-20"
"464"	"Theo Pinson"	"BKN"	24	0.8	1.9	41.9	0.1	0.2	33.3	0	0.1	0	0.1	0.1	66.7	0.2	0.5	29.4	0.3	1.7	18.2	"2019-20"
"465"	"Thomas Bryant"	"WAS"	22	3.1	4.1	76.8	0.3	0.6	47.8	0.2	0.6	39.1	0.6	1.2	46.7	0.2	0.5	36.8	0.4	1.1	40.5	"2019-20"
"466"	"Thon Maker"	"DET"	23	0.8	1.3	62.5	0.2	0.5	44.4	0.1	0.2	44.4	0.1	0.2	33.3	0.2	0.5	34.4	0.2	0.5	37.5	"2019-20"
"467"	"Tim Frazier"	"DET"	29	0.4	0.8	50	0.2	0.5	33.3	0.1	0.4	30	0.2	0.5	38.5	0.2	0.6	33.3	0.2	0.8	27.3	"2019-20"
"468"	"Tim Hardaway Jr."	"DAL"	28	1.2	2.1	55.6	0.3	0.9	33.9	0.4	0.8	47.1	0.6	1.2	45.5	1.2	2.9	42.9	1.8	4.5	40.2	"2019-20"
"469"	"Timothe Luwawu-Cabarrot"	"BKN"	24	0.9	1.8	49.3	0.1	0.1	40	0	0.1	25	0	0	100	0.7	1.8	38.2	0.4	1.2	31.8	"2019-20"
"470"	"Tobias Harris"	"PHI"	27	2.9	4.7	62.3	1.2	2.4	50	1	2.1	47	0.6	1.7	37	0.7	1.8	37.6	1.2	3.5	35.1	"2019-20"
"471"	"Tomas Satoransky"	"CHI"	28	1.6	3.1	52.5	0.6	1.2	48	0.4	0.8	48.1	0.1	0.3	33.3	0.4	1.4	33	0.5	1.8	30.7	"2019-20"
"472"	"Tony Bradley"	"UTA"	22	1.8	2.6	70	0.2	0.4	47.6	0	0	50	0	0	0	0	0	0	0	0	100	"2019-20"
"473"	"Tony Snell"	"DET"	28	0.6	1	66.7	0.2	0.5	40.7	0.1	0.3	31.6	0.1	0.3	47.1	0.9	2.3	42.1	0.8	2.2	39.4	"2019-20"
"474"	"Torrey Craig"	"DEN"	29	1.1	1.6	71.4	0	0.2	11.1	0	0.1	16.7	0	0.1	50	0.3	1.3	26.6	0.4	0.9	43.5	"2019-20"
"475"	"Trae Young"	"ATL"	21	2.8	4.9	57.3	1	2.4	43.4	1.2	2.7	45.1	0.5	1	50	0.4	0.9	42.6	2.5	7.2	35.1	"2019-20"
"476"	"Tremont Waters"	"BOS"	22	0.7	1.2	54.5	0.1	0.2	50	0	0.2	0	0.1	0.3	50	0.1	0.3	33.3	0.3	1.3	23.1	"2019-20"
"477"	"Treveon Graham"	"ATL"	26	0.7	1.4	46.8	0.2	0.6	38.2	0.1	0.1	57.1	0	0	0	0.3	1	27.3	0.3	1.2	27.7	"2019-20"
"478"	"Trevor Ariza"	"POR"	34	1.2	1.8	62.9	0.1	0.2	36.4	0	0.1	0	0	0.1	0	0.9	2.4	39.1	0.5	1.5	33.8	"2019-20"
"479"	"Trey Burke"	"PHI"	27	1	1.8	55.8	0	0.2	25	0.3	0.5	54.5	0.4	1.1	40.7	0.2	0.4	50	0.5	1.2	38.7	"2019-20"
"480"	"Trey Lyles"	"SAS"	24	0.9	1.6	57.8	0.1	0.4	34.6	0.2	0.3	50	0.1	0.3	42.1	0.6	1.5	40.9	0.5	1.3	35.4	"2019-20"
"481"	"Tristan Thompson"	"CLE"	29	3.5	6.1	57.7	1.1	2.4	45.7	0.2	0.7	33.3	0	0.1	14.3	0	0.2	8.3	0.1	0.2	46.2	"2019-20"
"482"	"Troy Brown Jr."	"WAS"	20	1.9	3	64.4	0.3	1	32.2	0.2	0.7	36.6	0.3	1	33.3	0.5	1.1	44.1	0.4	1.4	30.2	"2019-20"
"483"	"Troy Daniels"	"DEN"	28	0.3	0.4	64.7	0.1	0.1	50	0.1	0.2	50	0.1	0.5	31.6	0.4	0.9	43.2	0.6	1.8	30.7	"2019-20"
"484"	"Ty Jerome"	"PHX"	22	0.3	0.8	42.9	0.3	0.7	41.2	0.2	0.6	33.3	0.1	0.1	66.7	0.2	0.6	37.5	0.3	1.3	24.2	"2019-20"
"485"	"Tyler Cook"	"CLE"	22	0.5	0.8	62.5	0.1	0.1	100	0.2	0.2	100	0	0	0	0	0	0	0	0	0	"2019-20"
"486"	"Tyler Herro"	"MIA"	20	0.9	1.8	48.8	0.3	0.7	45.2	0.5	1.1	43.4	0.6	1.5	40.3	1	2.4	39.8	1.4	3.7	38.2	"2019-20"
"487"	"Tyler Johnson"	"PHX"	27	0.6	1.1	55.9	0.1	0.4	33.3	0.3	0.5	64.3	0.2	0.7	31.8	0.4	1	35.5	0.5	1.8	26.3	"2019-20"
"488"	"Tyrone Wallace"	"ATL"	25	0.8	1.4	57.9	0.1	0.4	16.7	0	0.2	0	0.1	0.2	50	0	0.4	0	0.1	0.6	12.5	"2019-20"
"489"	"Tyson Chandler"	"HOU"	37	0.6	0.7	77.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2019-20"
"490"	"Tyus Jones"	"MEM"	23	0.9	1.6	56.4	0.6	1.2	46.8	0.5	1.2	43.6	0.3	0.5	52.9	0.4	0.8	41.8	0.4	1.3	34.9	"2019-20"
"491"	"Udonis Haslem"	"MIA"	39	0.3	1	33.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	1	0	"2019-20"
"492"	"Vic Law"	"ORL"	24	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.7	0	0	0	0	"2019-20"
"493"	"Victor Oladipo"	"IND"	27	1.5	3.5	42.2	0.4	0.7	55.6	0.3	0.9	33.3	0.8	1.4	55.6	0.5	1.3	41.2	1.3	4.2	30.9	"2019-20"
"494"	"Vince Carter"	"ATL"	43	0.2	0.5	44.8	0.2	0.3	55	0.2	0.4	38.5	0.2	0.3	57.9	0.4	1.2	29.2	0.7	2.3	30.1	"2019-20"
"495"	"Vincent Poirier"	"BOS"	26	0.5	0.9	55.6	0.1	0.2	50	0	0.2	0	0.1	0.2	33.3	0.1	0.2	66.7	0.1	0.1	50	"2019-20"
"496"	"Vlatko Cancar"	"DEN"	22	0.5	0.6	71.4	0	0.1	0	0	0	0	0	0	0	0	0.2	0	0.1	0.4	20	"2019-20"
"497"	"Wayne Ellington"	"NYK"	32	0.2	0.3	54.5	0	0.1	0	0	0	0	0.1	0.3	30	0.6	1.5	40.4	0.9	2.9	31.3	"2019-20"
"498"	"Wendell Carter Jr."	"CHI"	20	3.3	5.2	63.8	0.3	1	31	0.4	0.7	53.3	0.1	0.3	35.7	0.1	0.6	20.8	0	0.2	11.1	"2019-20"
"499"	"Wenyen Gabriel"	"POR"	22	0.5	0.8	61.9	0	0.2	0	0	0	100	0	0	0	0.2	0.5	33.3	0.1	0.3	25	"2019-20"
"500"	"Wes Iwundu"	"ORL"	25	0.7	1.3	55	0.1	0.4	25	0.1	0.3	35.7	0.2	0.6	36	0.3	1	29.5	0.3	0.8	37.1	"2019-20"
"501"	"Wesley Matthews"	"MIL"	33	0.6	1.1	59.7	0.1	0.4	27.3	0.1	0.3	35.3	0.1	0.2	36.4	0.7	1.7	42.3	0.9	2.9	32.8	"2019-20"
"502"	"Will Barton"	"DEN"	29	2.6	4.6	56.8	0.4	1.4	29.8	0.3	0.8	39.6	0.4	0.8	55.6	0.9	2.1	41.1	1.1	3	35.5	"2019-20"
"503"	"William Howard"	"HOU"	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.5	0	"2019-20"
"504"	"Willie Cauley-Stein"	"DAL"	26	2.7	3.7	71.6	0.3	0.7	42.5	0.1	0.5	30.8	0.1	0.6	16.1	0	0.1	33.3	0	0	0	"2019-20"
"505"	"Willy Hernangomez"	"CHA"	25	1.7	2.7	64.3	0.4	0.8	50	0.1	0.3	37.5	0	0.1	0	0.1	0.2	28.6	0.1	0.5	25	"2019-20"
"506"	"Wilson Chandler"	"BKN"	32	0.6	0.8	69	0.3	0.5	47.4	0.1	0.2	28.6	0.2	0.2	85.7	0.4	1.4	30.6	0.6	2	31	"2019-20"
"507"	"Yogi Ferrell"	"SAC"	26	0.3	0.7	42.9	0	0.1	25	0.3	0.6	42.3	0.6	1.1	58.5	0.2	0.6	34.8	0.3	1	24.4	"2019-20"
"508"	"Yuta Watanabe"	"MEM"	25	0.5	0.9	53.8	0.1	0.2	50	0	0.3	0	0.1	0.3	33.3	0.2	0.4	60	0	0.2	0	"2019-20"
"509"	"Zach Collins"	"POR"	22	1.7	3	55.6	0	0	0	0.3	0.7	50	0	0.3	0	0.3	0.7	50	0.7	1.7	40	"2019-20"
"510"	"Zach LaVine"	"CHI"	25	4.8	8.3	58.1	0.1	0.8	14.6	0.2	0.7	28.6	0.6	1.5	39.8	1.2	2.9	40.9	2	5.5	36.4	"2019-20"
"511"	"Zach Norvell Jr."	"GSW"	22	0	0	0	0	0.2	0	0	0.3	0	0	0.3	0	0	0.6	0	0.6	1.2	50	"2019-20"
"512"	"Zhaire Smith"	"PHI"	20	0.5	1	50	0	0	0	0	0.2	0	0	0.3	0	0	0.2	0	0	0.3	0	"2019-20"
"513"	"Zion Williamson"	"NOP"	19	8.4	13.4	63	0.2	0.8	26.7	0.1	0.3	33.3	0	0.1	0	0	0.3	0	0.3	0.5	60	"2019-20"
"514"	"Zylan Cheatham"	"NOP"	24	0.7	0.7	100	0	0.3	0	0	0.3	0	0	0	0	0	0.3	0	0	0	0	"2019-20"
"515"	"Aaron Gordon"	"ORL"	23	3.2	5.2	60.9	0.3	1	34.7	0.5	1.3	38.4	0.4	1.3	29.6	0.8	2	40.4	0.9	2.7	32.7	"2018-19"
"516"	"Aaron Holiday"	"IND"	22	0.6	1.1	58.2	0.2	0.5	31.8	0.1	0.4	31.3	0.3	0.7	41.2	0.3	0.7	40.6	0.7	2	34.7	"2018-19"
"517"	"Abdel Nader"	"OKC"	25	0.8	1.4	56.5	0.2	0.4	39.1	0	0.1	0	0	0	0	0.3	0.9	36.4	0.3	0.8	30.4	"2018-19"
"518"	"Al Horford"	"BOS"	33	2.3	3.4	68.8	0.8	1.4	55.3	0.5	1	49.3	0.8	1.4	55.8	0.4	1.3	35.3	0.9	2.1	39.7	"2018-19"
"519"	"Al-Farouq Aminu"	"POR"	28	1.7	2.9	59.6	0.2	0.4	37.1	0	0.2	13.3	0	0.2	22.2	0.7	2	36.6	0.5	1.6	30.2	"2018-19"
"520"	"Alan Williams"	"BKN"	26	0.8	1	80	0.4	0.8	50	0.4	0.6	66.7	0	0	0	0	0	0	0	0.2	0	"2018-19"
"521"	"Alec Burks"	"SAC"	27	1.5	2.7	55.5	0.2	0.7	23.9	0.1	0.5	26.7	0.2	0.8	25.5	0.4	1	38.1	0.7	1.8	36.6	"2018-19"
"522"	"Alex Abrines"	"OKC"	25	0.3	0.6	55.6	0	0.1	0	0	0	0	0.1	0.2	40	0.7	1.9	37.9	0.7	2.2	30.4	"2018-19"
"523"	"Alex Caruso"	"LAL"	25	1.7	3.5	49.4	0.2	0.4	45.5	0.2	0.7	25	0.1	0.4	33.3	0.4	0.9	42.9	0.6	1.3	46.9	"2018-19"
"524"	"Alex Len"	"ATL"	26	2.8	4.6	61.2	0.2	0.6	34.7	0.1	0.2	31.6	0.1	0.2	23.5	0.6	1.6	34.1	0.4	1	40	"2018-19"
"525"	"Alex Poythress"	"ATL"	25	1.4	2.5	56.6	0	0.1	33.3	0	0	0	0	0.1	0	0.4	1	42.1	0	0.2	25	"2018-19"
"526"	"Alfonzo McKinnie"	"GSW"	26	1.1	1.7	66.1	0.1	0.2	26.7	0.1	0.1	50	0	0.1	33.3	0.4	1.2	32.1	0.3	0.6	40.9	"2018-19"
"527"	"Alize Johnson"	"IND"	23	0.1	0.4	33.3	0.1	0.4	20	0	0.1	0	0	0.1	0	0.1	0.2	50	0	0.1	0	"2018-19"
"528"	"Allen Crabbe"	"BKN"	27	0.5	0.9	52.6	0.1	0.3	20	0.2	0.4	47.1	0.1	0.6	22.2	1.1	2.7	41.2	1.2	3.7	33.3	"2018-19"
"529"	"Allonzo Trier"	"NYK"	23	1.9	3.5	54.1	0.1	0.2	33.3	0.3	0.8	41.2	0.4	1.3	33.3	0.3	0.9	39.3	0.6	1.4	40.2	"2018-19"
"530"	"Amile Jefferson"	"ORL"	26	0.8	1.1	76.9	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	"2018-19"
"531"	"Amir Johnson"	"PHI"	32	1.1	1.5	68.4	0.2	0.6	31.3	0	0.1	66.7	0	0	100	0.1	0.3	17.6	0.2	0.5	37.5	"2018-19"
"532"	"Andre Drummond"	"DET"	25	6.2	10.3	59.6	0.7	2	37.8	0.1	0.4	31.3	0	0.1	11.1	0	0.2	16.7	0	0.3	15	"2018-19"
"533"	"Andre Iguodala"	"GSW"	35	1.4	1.6	82.1	0	0.1	0	0.1	0.2	30.8	0.1	0.3	29.4	0.4	1.1	37.7	0.3	1.1	28.4	"2018-19"
"534"	"Andre Ingram"	"LAL"	33	0	0	0	0	0.5	0	0	0.3	0	0	0.3	0	0	0.3	0	0	0.5	0	"2018-19"
"535"	"Andrew Bogut"	"GSW"	34	1.3	2.3	56	0.2	0.5	33.3	0.2	0.4	50	0	0.1	0	0	0	0	0	0	0	"2018-19"
"536"	"Andrew Harrison"	"NOP"	24	0.5	0.9	53.3	0.1	0.2	33.3	0.1	0.3	50	0	0.3	0	0.1	0.7	9.1	0.2	0.8	28.6	"2018-19"
"537"	"Andrew Wiggins"	"MIN"	24	3	5.4	55.8	0.5	1.4	38.5	0.5	1.6	33.3	0.8	2.5	31.7	1	2.7	38.8	0.9	2.9	31.4	"2018-19"
"538"	"Anfernee Simons"	"POR"	20	0.5	0.7	76.9	0.1	0.5	25	0.1	0.4	33.3	0.3	0.5	57.1	0.2	0.7	33.3	0.3	0.9	35.3	"2018-19"
"539"	"Angel Delgado"	"LAC"	24	0.5	2.5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2018-19"
"540"	"Ante Zizic"	"CLE"	22	2.4	3.8	63.3	0.3	1	34.5	0.3	0.6	45.5	0.1	0.3	35.3	0	0	0	0	0	0	"2018-19"
"541"	"Anthony Davis"	"NOP"	26	5.7	8.1	70.3	1	2.6	38.4	1	2.3	41.5	0.7	2.1	32.2	0.5	1.2	42.4	0.6	1.9	31.5	"2018-19"
"542"	"Anthony Tolliver"	"MIN"	34	0.2	0.4	46.2	0	0.1	25	0	0	0	0	0.1	75	0.5	1.6	31.3	0.8	1.8	43.1	"2018-19"
"543"	"Antonio Blakeney"	"CHI"	22	0.8	1.3	57.5	0.5	1.1	47.3	0.6	1.5	37.6	0.4	1.3	27.5	0.7	1.4	49.3	0.2	0.7	26.3	"2018-19"
"544"	"Aron Baynes"	"BOS"	32	1.3	2.4	55.4	0.1	0.3	41.2	0.1	0.3	46.2	0.1	0.2	36.4	0.1	0.3	43.8	0.3	0.9	31.1	"2018-19"
"545"	"Austin Rivers"	"HOU"	26	1.3	2.2	57.8	0.3	0.8	42.4	0.1	0.2	31.3	0	0	33.3	0.5	1.6	33.6	0.9	2.7	31.7	"2018-19"
"546"	"Avery Bradley"	"MEM"	28	0.8	1.8	45.7	0.3	0.7	37.2	0.2	0.5	38.2	0.8	1.7	46.4	1.2	3.1	39.7	0.6	1.7	36.5	"2018-19"
"547"	"BJ Johnson"	"SAC"	23	0.3	0.7	40	0.2	0.2	100	0.5	0.8	66.7	0.2	0.4	50	0.4	0.6	75	0	0.4	0	"2018-19"
"548"	"Bam Adebayo"	"MIA"	21	2.8	4.1	67.7	0.2	0.7	33.9	0.3	0.7	37.5	0.1	0.2	44.4	0	0.1	0	0	0.1	42.9	"2018-19"
"549"	"Ben McLemore"	"SAC"	26	0.2	0.5	44.4	0	0.2	0	0	0.1	0	0.2	0.3	60	0.6	1.6	35.7	0.4	0.9	47.1	"2018-19"
"550"	"Ben Simmons"	"PHI"	22	5.6	8.6	65	1	2.3	42.5	0.2	0.9	25.4	0	0.3	9.5	0	0	100	0	0.1	0	"2018-19"
"551"	"Billy Garrett"	"NYK"	24	1.3	1.5	83.3	0	0	0	1	2	50	0.5	0.8	66.7	0	1	0	0	1.5	0	"2018-19"
"552"	"Bismack Biyombo"	"CHA"	26	1.3	2.1	63.7	0.2	0.4	40.9	0.1	0.2	41.7	0.1	0.1	42.9	0	0	0	0	0	0	"2018-19"
"553"	"Blake Griffin"	"DET"	30	4.6	7.2	64.4	0.7	2.2	32.7	0.2	0.8	24.2	0.1	0.5	26.3	1.1	2.7	40.3	1.5	4.4	33.3	"2018-19"
"554"	"Boban Marjanovic"	"PHI"	30	2.1	3.1	69.2	0.4	0.8	46.3	0.2	0.4	57.1	0.1	0.3	42.9	0.1	0.1	42.9	0	0.1	20	"2018-19"
"555"	"Bobby Portis"	"WAS"	24	2.4	4.3	55.3	0.9	2.1	42.5	0.4	0.9	44.4	0.3	0.9	27.7	0.4	1.5	30.1	1.2	2.8	42.3	"2018-19"
"556"	"Bogdan Bogdanovic"	"SAC"	26	1.6	2.9	56	0.5	1.4	34.3	0.5	1.1	47.4	0.4	1	42.9	0.9	2.3	36.8	1.2	3.5	36	"2018-19"
"557"	"Bojan Bogdanovic"	"IND"	30	2.9	4.6	63.1	0.5	1.2	38.8	0.6	1.3	42.2	0.4	1	45	1	1.8	52.4	1.1	2.9	37	"2018-19"
"558"	"Bonzie Colson"	"MIL"	23	0.9	1.9	46.2	0.2	0.4	50	0	0.3	0	0.2	0.2	100	0.5	1.5	33.3	0.3	1.6	18.2	"2018-19"
"559"	"Brad Wanamaker"	"BOS"	29	0.5	0.7	69.2	0.2	0.4	42.9	0.1	0.2	28.6	0.2	0.4	50	0.1	0.3	20	0.4	0.9	44.1	"2018-19"
"560"	"Bradley Beal"	"WAS"	26	4.2	6.4	65.8	0.4	1	42.4	0.7	1.5	46.8	1	2.4	42.6	1	2.9	34.5	1.9	5.2	35.8	"2018-19"
"561"	"Brandon Goodwin"	"DEN"	23	0.3	0.8	40	0	0.1	0	0	0.4	0	0	0.2	0	0	0.1	0	0.1	0.4	40	"2018-19"
"562"	"Brandon Ingram"	"LAL"	21	3.7	6	61.7	0.7	1.4	50	1	2.4	40.3	0.9	2.2	40.7	0.5	1.3	36.8	0.3	0.8	31.7	"2018-19"
"563"	"Brandon Knight"	"CLE"	27	0.6	1.1	53.5	0.1	0.6	20.8	0.2	0.8	27.3	0.4	0.6	65.2	0.4	1.2	37.8	0.7	2.3	31.9	"2018-19"
"564"	"Brandon Sampson"	"CHI"	22	0.9	1.5	63.2	0.5	0.9	50	0	0	0	0	0.2	0	0.4	0.9	41.7	0.5	1.3	35.3	"2018-19"
"565"	"Brook Lopez"	"MIL"	31	1.4	1.9	74.2	0.3	0.7	41.7	0.3	0.5	53.8	0	0.1	33.3	0.6	1.4	40.2	1.7	4.8	35.5	"2018-19"
"566"	"Bruce Brown"	"DET"	22	1.1	2.3	49.1	0.2	0.5	34.2	0	0.1	37.5	0	0.1	25	0.2	0.6	34	0.1	0.6	19	"2018-19"
"567"	"Bruno Caboclo"	"MEM"	23	1.2	2.2	56.8	0.1	0.4	20	0	0.1	0	0	0	100	0.8	2.2	37.3	0.6	1.6	40	"2018-19"
"568"	"Bryn Forbes"	"SAS"	25	0.7	1.3	54.7	0.4	0.8	46.3	0.3	0.7	41.8	0.7	1.3	51.9	0.8	2	42	1.5	3.5	42.7	"2018-19"
"569"	"Buddy Hield"	"SAC"	26	2.3	3.8	58.7	0.2	0.8	26.2	0.5	1.2	45	0.9	2.1	42	1.8	4.1	44.8	1.8	4.4	41.5	"2018-19"
"570"	"C.J. Williams"	"MIN"	29	0.5	0.8	54.5	0.1	0.2	50	0.1	0.1	100	0.2	0.3	66.7	0.2	0.6	37.5	0.3	0.7	40	"2018-19"
"571"	"CJ McCollum"	"POR"	27	2.2	4.2	54	0.8	1.8	42.7	1	2	51	1.4	2.7	52.4	1.1	2.8	40	1.6	4.3	36.9	"2018-19"
"572"	"CJ Miles"	"MEM"	32	0.4	0.9	44	0.1	0.3	28.6	0.1	0.3	41.2	0.1	0.4	38.9	0.8	1.6	45.9	0.6	2.4	26.2	"2018-19"
"573"	"Caleb Swanigan"	"SAC"	22	0.6	1.2	52	0.2	0.5	30	0.1	0.3	16.7	0	0.1	0	0	0.3	14.3	0	0.1	0	"2018-19"
"574"	"Cameron Payne"	"CLE"	24	1	1.7	56.7	0.4	0.7	55.6	0.3	0.6	40	0.1	0.3	40	0.4	0.9	40	0.4	1.5	25.9	"2018-19"
"575"	"Cameron Reynolds"	"MIN"	24	0.2	0.6	36.4	0.1	0.2	50	0.3	0.4	71.4	0	0.2	0	0.6	1.6	35.5	0.6	1.1	52.4	"2018-19"
"576"	"Caris LeVert"	"BKN"	24	2.8	5	55.8	0.7	1.8	37	0.4	1.1	40.5	0.1	0.3	33.3	0.4	1.2	30.6	0.8	2.7	30.6	"2018-19"
"577"	"Carmelo Anthony"	"HOU"	35	1.3	2.1	61.9	0.2	0.5	40	0.5	1.1	45.5	0.5	1	50	0.4	2.2	18.2	2	5.1	39.2	"2018-19"
"578"	"Cedi Osman"	"CLE"	24	2.1	3.6	58	0.3	0.9	29.4	0.3	0.7	44	0.3	0.8	34.4	0.7	1.9	36.7	1.1	3.1	35.4	"2018-19"
"579"	"Chandler Hutchison"	"CHI"	23	1.4	2.4	58.7	0.4	0.9	41.5	0	0.2	0	0.1	0.1	66.7	0.2	0.7	34.5	0.1	0.4	22.2	"2018-19"
"580"	"Chandler Parsons"	"MEM"	30	0.9	1.7	51.2	0.2	0.5	50	0.1	0.5	23.1	0.2	0.6	42.9	0.6	1.8	31.8	0.6	2.2	29.6	"2018-19"
"581"	"Channing Frye"	"CLE"	36	0.1	0.2	57.1	0.1	0.2	28.6	0	0.2	0	0.1	0.3	45.5	0.3	1	26.7	0.6	1.5	41.5	"2018-19"
"582"	"Chasson Randle"	"WAS"	26	0.8	1.4	54.3	0.1	0.3	28.6	0	0.1	16.7	0	0.2	18.2	0.2	0.8	32.4	0.7	1.6	42.3	"2018-19"
"583"	"Cheick Diallo"	"NOP"	22	1.7	2.4	71.1	0.5	1	55.9	0.3	0.6	47.2	0.2	0.3	52.6	0	0.1	16.7	0	0	100	"2018-19"
"584"	"Chimezie Metu"	"SAS"	22	0.3	0.7	38.9	0.4	0.7	58.8	0.1	0.4	22.2	0	0.4	0	0	0.2	0	0	0.1	0	"2018-19"
"585"	"Chris Boucher"	"TOR"	26	0.8	1.3	61.1	0	0.1	0	0	0	0	0	0.1	0	0.3	0.5	53.8	0.2	0.9	20.8	"2018-19"
"586"	"Chris Chiozza"	"HOU"	23	0	0.2	0	0	0.3	0	0	0	0	0	0.3	0	0.1	0.4	33.3	0.1	0.3	50	"2018-19"
