"Player"	"TEAM"	"AGE"	"FGM"	"FGA"	"FG."	"FGM.1"	"FGA.1"	"FG..1"	"FGM.2"	"FGA.2"	"FG..2"	"FGM.3"	"FGA.3"	"FG..3"	"FGM.4"	"FGA.4"	"FG..4"	"FGM.5"	"FGA.5"	"FG..5"	"YEAR"
"157"	"Evan Fournier"	"ORL"	27	2.2	3.4	64.1	0.5	1.2	41.3	0.5	1.2	41.9	0.5	1.3	38.5	1.3	2.4	53.4	1.7	4.7	36.8	"2019-20"
"158"	"Evan Turner"	"MIN"	31	0.6	1.1	52.4	0.3	0.5	55.6	0.2	0.9	16.7	0.3	0.6	50	0	0.3	0	0	0.1	0	"2019-20"
"159"	"Frank Jackson"	"NOP"	21	0.6	1.4	45.8	0.2	0.4	42.9	0.3	0.6	46.2	0.1	0.3	25	0.5	1.3	38.1	0.4	1.2	29.5	"2019-20"
"160"	"Frank Kaminsky"	"PHX"	26	1.8	3.2	56.3	0.6	1.1	58.8	0.2	0.5	29.4	0.2	0.3	45.5	0.3	0.9	35.7	0.9	2.7	33.7	"2019-20"
"161"	"Frank Mason"	"MIL"	25	0.4	1	40	0	0.5	0	0	0	0	0.2	0.3	50	0	0.6	0	0.4	1.2	33.3	"2019-20"
"162"	"Frank Ntilikina"	"NYK"	21	0.7	1.3	53.4	0.1	0.4	40	0.1	0.6	24.2	0.4	0.8	46.3	0.7	1.6	44.3	0.3	1.3	22.7	"2019-20"
"163"	"Fred VanVleet"	"TOR"	26	2.7	5.5	48.5	0.1	0.6	18.5	0.2	0.5	34.8	0.2	0.7	25	1	2.4	41.7	1.8	4.8	37.3	"2019-20"
"164"	"Furkan Korkmaz"	"PHI"	22	0.8	1.3	60.7	0.3	0.7	37.2	0.2	0.5	35.5	0.2	0.5	44.8	0.8	1.7	49.5	1.2	3.4	36.1	"2019-20"
"165"	"Gabe Vincent"	"MIA"	23	0	0.3	0	0	0	0	0	0.7	0	0	0	0	0	2	0	0.8	2	40	"2019-20"
"166"	"Garrett Temple"	"BKN"	33	1.1	2	54.5	0.1	0.2	41.7	0.1	0.4	33.3	0.2	0.4	47.6	1	3.2	31.8	1	3.1	33.1	"2019-20"
"167"	"Garrison Mathews"	"WAS"	23	0.1	0.1	100	0.1	0.2	33.3	0	0.1	0	0.2	0.3	60	0.4	0.8	46.2	0.7	1.7	40	"2019-20"
"168"	"Gary Clark"	"ORL"	25	0.3	0.4	76.9	0	0	0	0	0	0	0	0	0	0.5	1.2	39	0.3	1.3	26.7	"2019-20"
"169"	"Gary Harris"	"DEN"	25	1.9	3.3	56.5	0.2	0.8	27.9	0.2	0.6	30.6	0.3	0.6	42.4	0.9	2.2	39.8	0.5	1.8	28.6	"2019-20"
